"","membership","commercial","sum(population)","nodality","centrality"
"2","Central",15186382.083258,301280,42078306,19408985
"3","Changi",1389091.579834,405540,24536335,9330252
"4","Choa Chu Kang",166474.479615,328700,12018408,2742943
"5","East Coast",6081332.709718,469380,28430399,10776502
"6","Jurong",199605.563105,268620,16401557,3455842
"7","North",871505.7671,288440,17714699,4165361
"8","North East",3321289.084963,836810,43397192,8652360
"9","Punggol",21883,146640,3637866,1663911
"10","Toa Payoh",3519891.483646,250140,21608220,9332554
"11","Tuas",152353.239257,170,3299597,1034628
"12","West Coast",5032175.013676,414570,34971310,10214915
"13","Woodlands",567652.05786,250970,16084204,3483166
