,membership,commercial,sum(population),nodality,centrality
2,Central,22521325.42,228220,48064828.16,26868643.12
3,Changi,2953860.937,571840,23298810.63,5160042.315
4,Choa Chu Kang,714817.8899,336360,19103284.73,5499976.285
5,East Coast,11206744.84,501890,39217118.59,19359485.62
6,Jurong,4342611.974,603690,41063163.21,6701728.667
7,North East,3036634.902,301040,21150332.77,10145011.49
8,Punggol,185237.8716,530180,22815505.1,7259516.234
9,Toa Payoh,1287046.233,156930,11771903.64,6840086.107
10,Tuas,164161.2592,180,3318698.692,1544765.84
11,West Coast,6113974.25,192500,16975120.08,9868456.275
12,Woodlands,2287671.279,538430,33040473.78,2624249.231
